,기상번호,시도코드,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),최다풍향(16방위),평균 현지기압(hPa),일 최심신적설(cm),일강수량(mm),강수 계속시간(hr)
0,1120160101,11,20160101,1.2,-3.3,4.0,1.6,90.0,1019.9,0.0,0.0,0.0
1,1120160102,11,20160102,5.7,1.0,9.5,2.0,320.0,1012.0,0.0,0.0,0.0
2,1120160103,11,20160103,6.5,5.1,9.4,1.8,320.0,1008.9,0.0,0.0,0.0
3,1120160104,11,20160104,2.0,-2.5,5.3,3.1,320.0,1013.1,0.0,0.0,0.0
4,1120160105,11,20160105,-2.7,-4.8,1.5,2.3,20.0,1016.9,0.0,0.0,0.0
5,1120160106,11,20160106,-1.7,-4.9,1.7,1.8,320.0,1014.7,0.0,0.0,0.0
6,1120160107,11,20160107,-3.4,-5.9,1.4,2.5,20.0,1013.9,0.0,0.0,0.0
7,1120160108,11,20160108,-3.3,-6.9,1.0,2.0,290.0,1012.6,0.0,0.0,0.0
8,1120160109,11,20160109,-2.1,-6.2,2.4,2.1,360.0,1014.3,0.0,0.0,0.0
9,1120160110,11,20160110,0.3,-2.7,3.8,2.6,50.0,1015.5,0.0,0.0,0.0
10,1120160111,11,20160111,-3.8,-6.5,0.9,2.8,50.0,1016.1,0.0,0.0,0.0
11,1120160112,11,20160112,-5.2,-9.1,0.7,2.5,50.0,1013.3,0.0,0.0,0.0
12,1120160113,11,20160113,-4.5,-8.2,0.1,2.0,50.0,1009.5,0.5,0.4,3.42
13,1120160114,11,20160114,-3.4,-8.4,1.3,1.7,230.0,1011.0,0.0,0.0,2.1
14,1120160115,11,20160115,-0.4,-4.3,5.3,1.8,160.0,1010.9,0.0,0.0,0.0
15,1120160116,11,20160116,-0.2,-2.1,2.8,2.9,90.0,1012.1,0.0,0.1,4.83
16,1120160117,11,20160117,1.7,-0.7,5.4,2.4,90.0,1006.4,0.0,0.0,0.0
