,기상번호,시도코드,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),최다풍향(16방위),평균 현지기압(hPa),SO2,CO,O3,NO2,PM10,PM25
0,1120160101,11,20160101,1.2,-3.3,4.0,1.6,90.0,1019.9,0.006083333000000001,0.978070175,0.005172566,0.049218202,69.97975253,43.50606586
1,1120160102,11,20160102,5.7,1.0,9.5,2.0,320.0,1012.0,0.00610307,0.7370614040000001,0.008488739,0.04620614,53.58295455,30.94664372
2,1120160103,11,20160103,6.5,5.1,9.4,1.8,320.0,1008.9,0.007364435,0.956497797,0.012011273999999999,0.05161141599999999,98.53239105,57.75212224
3,1120160104,11,20160104,2.0,-2.5,5.3,3.1,320.0,1013.1,0.006256891,0.640290179,0.022640625,0.029584344,78.65668203,46.87113402
4,1120160105,11,20160105,-2.7,-4.8,1.5,2.3,20.0,1016.9,0.006104526,0.466702703,0.01478556,0.029282937000000002,33.75873362,16.39460371
5,1120160106,11,20160106,-1.7,-4.9,1.7,1.8,320.0,1014.7,0.007197849,0.708709677,0.0067451609999999995,0.044027957,57.90393013,29.45868465
6,1120160107,11,20160107,-3.4,-5.9,1.4,2.5,20.0,1013.9,0.006290252,0.549501661,0.01426287,0.030575658,41.78422782,20.46034483
7,1120160108,11,20160108,-3.3,-6.9,1.0,2.0,290.0,1012.6,0.006501085,0.566160521,0.012557483999999999,0.034588937,36.62322015,17.52339688
8,1120160109,11,20160109,-2.1,-6.2,2.4,2.1,360.0,1014.3,0.006250814,0.567787419,0.012309111000000001,0.03587649,39.10710383,19.36769759
9,1120160110,11,20160110,0.3,-2.7,3.8,2.6,50.0,1015.5,0.006267094,0.505674518,0.018370726,0.029827991,34.47639485,18.66444073
10,1120160111,11,20160111,-3.8,-6.5,0.9,2.8,50.0,1016.1,0.006218240999999999,0.546145494,0.015176982,0.032972856,41.85978261,20.76101695
11,1120160112,11,20160112,-5.2,-9.1,0.7,2.5,50.0,1013.3,0.006066239,0.60715812,0.010714743999999998,0.039282051,50.99355532,23.47297297
12,1120160113,11,20160113,-4.5,-8.2,0.1,2.0,50.0,1009.5,0.005747594,0.579679144,0.012220321000000001,0.036044968,39.7207304,19.93634841
13,1120160114,11,20160114,-3.4,-8.4,1.3,1.7,230.0,1011.0,0.0065872840000000005,0.6060475160000001,0.010422869,0.040822006,47.78941685,21.099830800000003
14,1120160115,11,20160115,-0.4,-4.3,5.3,1.8,160.0,1010.9,0.006785177,0.803501094,0.006184549,0.052122449,54.43837085,29.30976431
15,1120160116,11,20160116,-0.2,-2.1,2.8,2.9,90.0,1012.1,0.006325855,0.886111111,0.004751872,0.052026709000000004,70.88159311,42.57939189
16,1120160117,11,20160117,1.7,-0.7,5.4,2.4,90.0,1006.4,0.006050267,0.888663102,0.006434225,0.04937754,72.85347594,46.44166667
17,1120160118,11,20160118,-6.3,-12.3,0.4,4.8,340.0,1003.9,0.005558919,0.602702703,0.018743784,0.027196757000000002,57.69769989,31.70517241
18,1120160119,11,20160119,-12.8,-15.1,-8.9,5.4,340.0,1011.7,0.005225108,0.391883117,0.022046537,0.019045455,35.78227571,12.72805508
19,1120160120,11,20160120,-10.5,-14.5,-5.2,1.8,50.0,1019.7,0.0055728159999999995,0.558036677,0.0124946,0.03525027,40.90860215,22.32094595
20,1120160121,11,20160121,-7.1,-10.2,-2.3,1.8,320.0,1017.9,0.0061186619999999995,0.6979257640000001,0.009508197,0.042793668,53.76923077,29.75506757
21,1120160122,11,20160122,-7.6,-11.1,-3.8,2.6,320.0,1021.1,0.006276231,0.65,0.012620915,0.038543573,52.41513514,27.4302521
22,1120160123,11,20160123,-11.5,-16.0,-8.3,4.0,340.0,1019.1,0.005763889,0.412299465,0.023447059,0.019725427,32.61153428,14.13827993
23,1120160124,11,20160124,-14.4,-18.0,-10.5,3.2,340.0,1014.9,0.005986111,0.441346154,0.022144231,0.018897436,39.8855615,19.31385643
24,1120160125,11,20160125,-9.4,-14.3,-3.4,1.9,320.0,1018.0,0.005954984,0.578349411,0.012992496999999999,0.036428725,52.696581200000004,17.24916388
25,1120160126,11,20160126,-3.3,-8.5,1.7,2.3,90.0,1016.3,0.008079827,0.954476807,0.004897826,0.05838835,80.77923497,36.93996569
26,1120160127,11,20160127,-1.1,-4.7,4.3,2.0,340.0,1019.0,0.007828848000000001,0.8518837459999999,0.010911733,0.050892357,66.13071895,31.33783784
27,1120160128,11,20160128,-0.5,-5.6,3.5,1.6,110.0,1018.2,0.006656633,0.9939130429999999,0.004937025,0.059409977999999995,61.66953714,30.64915254
28,1120160129,11,20160129,1.9,-1.4,5.4,2.3,90.0,1014.6,0.007151815,0.774214518,0.007822961,0.048403225999999994,52.22076503,26.16554054
29,1120160130,11,20160130,0.6,-2.5,5.2,2.0,320.0,1015.4,0.00614693,0.813377193,0.008081345,0.046491452999999995,42.74623656,24.36700337
